Auteurs,References articles
S.Kharchev,"['9201013', '9203043', '9208044', '9208046', '9210072', '9303100', '9312210', '9401010', '9601161', '9606144', '9612094', '9810091', '9910265', '0004065', '0007040', '0102180']"
P.Berglund,"['9201014', '9303104', '9303158', '9311143', '9311014', '9401029', '9406008', '9406045', '9411131', '9505164', '9506091', '9605154', '9708063', '9803168', '9805189', '9811217', '9904114', '0005162', '0012042', '0012180', '0104057', '0112079', '0201187']"
T.Hübsch,"['9201014', '9303158', '9311143']"
S.Kar,"['9201015', '9507063']"
S.Khastgir,['9201015']
A.Kumar,"['9201015', '9908155']"
Leonardo Castellani,"['9201016', '9205103', '9208037', '9211032', '9212013', '9212141', '9304161', '9312179', '9402033', '9411039', '9509031', '9912277', '0005210', '0109163']"
Nathan Seiberg,"['9201017', '9402044', '9408013', '9506077', '9605184', '9605199', '9606017', '9607163', '9608086', '9608111', '9609161', '9609070', '9610251', '9612157', '9702187', '9703052', '9704089', '9705221', '9705057', '9705117', '9707158', '9708085', '9710009', '9802144', '9803179', '9806074', '9808149', '9903224', '9904142', '9908142', '9912072', '0002186', '0006062', '0008013', '0105038', '0108100', '0108152', '0108187', '0201039', '0204168', '0206182', '0211170', '0212225', '0301006', '0303207']"
Stephen Shenker,"['9201017', '9608086', '9612157', '0003215', '0010016', '0012081', '0201158', '0209231', '0212277']"
Waichi Ogura,"['9201018', '9508118']"
J.A.Dixon,"['9201019', '9205099', '9206082', '9208055', '9210092', '9304035', '9308013', '9308088']"
M.J.Duff,"['9201019', '9205099', '9207060', '9208055', '9305142', '9306052', '9308075', '9311120', '9405124', '9406105', '9406198', '9410046', '9410210', '9412184', '9501030', '9506126', '9506057', '9508094', '9509106', '9511162', '9601036', '9603037', '9604052', '9605085', '9608117', '9611203', '9612015', '9704186', '9706124', '9711089', '9801072', '9803061', '9805177', '9807051', '9807173', '9808100', '9901149', '9903214', '9912164', '0003237', '0007120', '0009212', '0010171', '0011167', '0012249', '0102093', '0105008', '0111237', '0201062', '0207003', '0208093', '0211183', '0212186', '0303140']"
E.Sezgin,"['9201019', '9202086', '9206076', '9206101', '9206108', '9209111', '9210061', '9212037', '9212092', '9307043', '9310126', '9312168', '9312201', '9407021', '9410006', '9410051', '9411055', '9412163', '9504121', '9504122', '9504140', '9508042', '9511161', '9511162', '9511203', '9512082', '9602099', '9605087', '9607227', '9611008', '9612220', '9702111', '9702008', '9704057', '9705093', '9710223', '9711127', '9711128', '9801202', '9803041', '9804051', '9804166', '9805125', '9806050', '9809204', '9810081', '9810183', '9902171', '9903020', '9908089', '0001169', '0012139', '0012168', '0105001', '0107186', '0112100', '0205131', '0205132', '0207101', '0211113', '0212323']"
A.S.Galperin,['9201020']
K.S.Stelle,"['9201020', '9206108', '9209111', '9212017', '9212037', '9401007', '9404170', '9412168', '9502108', '9508042', '9511203', '9602140', '9605082', '9608173', '9701088', '9706207', '9707207', '9708109', '9710244', '9803235', '9803259', '9803116', '9806051', '9807051', '9810159', '9812086', '9903057', '9907202', '9911156', '0007120', '0011167', '0108191', '0203015', '0208055', '0209193', '0210228', '0211279', '0212081', '0302164']"
J.Russo,"['9201021', '9201074', '9206070', '9209012', '9211057', '9707134', '9804076', '9911253']"
A.A.Tseytlin,"['9201021', '9203033', '9205058', '9206067', '9209023', '9210015', '9211061', '9301015', '9302083', '9303054', '9304155', '9307123', '9308018', '9308042', '9310159', '9311062', '9311012', '9402082', '9402120', '9404063', '9404180', '9404191', '9406067', '9407099', '9408040', '9409021', '9410008', '9411099', '9411198', '9502038', '9505052', '9505129', '9505145', '9506071', '9508068', '9509050', '9509123', '9510173', '9510041', '9510097', '9512081', '9601109', '9601177', '9602064', '9603099', '9604089', '9604166', '9604035', '9605091', '9606033', '9607107', '9609212', '9610172', '9611047', '9611111', '9612164', '9701125', '9702163', '9703040', '9704127', '9705120', '9707134', '9709087', '9709123', '9712063', '9801120', '9802133', '9803103', '9804076', '9804083', '9805028', '9806095', '9806141', '9807097', '9808088', '9809032', '9811035', '9811232', '9901101', '9902095', '9903091', '9906151', '9908105', '9911135', '9911221', '9911246', '9911253', '0001041', '0002159', '0005072', '0007036', '0007086', '0008107', '0009226', '0009171', '0010088', '0011033', '0011191', '0012034', '0012080', '0101043', '0102172', '0102105', '0104138', '0104238', '0108140', '0110107', '0110173', '0111017', '0111128', '0201112', '0202109', '0202179', '0204226', '0207241', '0208114', '0209116', '0211101', '0211289', '0304139', '0304255']"
Hiroki Fukutaka,"['9201022', '9203049']"
C.N.Pope,"['9201023', '9201050', '9202060', '9203024', '9204093', '9204038', '9205054', '9209111', '9209067', '9211051', '9212017', '9212117', '9301099', '9302073', '9304115', '9308114', '9309041', '9309125', '9311084', '9401007', '9402133', '9404170', '9410005', '9410006', '9411101', '9502108', '9503158', '9503159', '9504121', '9504122', '9508042', '9511161', '9511162', '9511203', '9512012', '9512153', '9601089', '9602140', '9603037', '9604052', '9604058', '9605077', '9605082', '9606047', '9607027', '9607164', '9608173', '9610107', '9611079', '9611134', '9612224', '9701177', '9702058', '9702086', '9703012', '9704186', '9707182', '9707207', '9708055', '9708109', '9710119', '9710155', '9710243', '9710244', '9711089', '9803259', '9803061', '9805151', '9806106', '9807006', '9807051', '9807173', '9810123', '9810159', '9811107', '9901115', '9901002', '9903001', '9903057', '9903214', '9905096', '9905161', '9906168', '9906221', '9907202', '9909099', '9909121', '9909184', '9909203', '9910252', '0001002', '0002054', '0002056', '0002099', '0003103', '0003286', '0004201', '0005137', '0005172', '0005246', '0007109', '0007209', '0008050', '0009183', '0011023', '0011167', '0012011', '0101096', '0102185', '0103155', '0105096', '0106026', '0106162', '0106177', '0108191', '0108245', '0110238', '0111096', '0112098', '0112138', '0203060', '0203082', '0203229', '0204064', '0206151', '0206154', '0208031', '0209193', '0212323', '0212037', '0304132']"
H.Aratyn,"['9201024', '9206096', '9209006', '9212086', '9302125', '9304080', '9304152', '9306035', '9307064', '9307147', '9308086', '9312144', '9401058', '9407017', '9407112', '9408104', '9501018', '9503211', '9509096', '9602068', '9607234', '9608107', '9704119', '9902141', '9905079', '0104092', '0107056']"
L.A.Ferreira,"['9201024', '9201030', '9206096', '9207061', '9212086', '9302125', '9304080', '9304152', '9307064', '9307147', '9308086', '9312144', '9411036', '9412127', '9509096', '9512105', '9606066', '9902141', '9903168', '9905079', '9909118', '0010168', '0012176', '0105078', '0208175', '0210154', '0211277']"
J.F.Gomes,"['9201024', '9201030', '9206096', '9207061', '9211029', '9212086', '9302125', '9304080', '9304152', '9307064', '9307147', '9308086', '9405169', '9408104', '9509096', '9803234', '9803122', '9810011', '9810057', '0002173', '0007116', '0007169', '0010257', '0011187', '0107056', '0109117', '0201047', '0205228', '0212046']"
A.H.Zimerman,"['9201024', '9201030', '9206096', '9207061', '9212086', '9302125', '9304080', '9304152', '9307064', '9307147', '9308086', '9312144', '9407017', '9407112', '9408104', '9509096', '9803234', '9803122', '9810011', '9810057', '9902141', '9905079', '0002173', '0007116', '0007169', '0010257', '0011187', '0107056', '0109117', '0201047', '0205228', '0212046']"
M.Forger,"['9201025', '9201051', '9203075', '9209108', '9210130']"
J.Laartz,"['9201025', '9201051', '9203020', '9209108', '9210130']"
U.Schaeper,"['9201025', '9201051', '9210130']"
Jean-Loup Gervais,"['9201026', '9203039', '9205034', '9207027', '9211088', '9212109', '9302035', '9304132', '9305043', '9308134', '9310116', '9312040', '9403026', '9405136', '9408042', '9408069', '9408076', '9505047', '9506040', '9601034', '9605105', '9606151', '9707107', '9810172', '9811108', '9903218', '9910235', '9911008', '9912089']"
Yutaka Matsuo,"['9201026', '9304132', '9305151', '9705005', '9712070', '9807085', '0005111', '0009002', '0104143', '0105175', '0106027', '0107007', '0202030', '0204260']"
J.M.Isidro,"['9201027', '9210124', '9307176', '9307037', '9407152', '9508030', '9510064', '9609116', '9703176', '9805051', '0003131', '0003200', '0009221', '0110151', '0111151', '0204178', '0209245', '0304175', '0304235']"
J.M.F.Labastida,"['9201027', '9210124', '9305028', '9402093', '9404115', '9405151', '9407076', '9503105', '9504010', '9507140', '9511037', '9603169', '9607030', '9702054', '9702106', '9704032', '9709192', '9710176', '9711132', '9712139', '9806032', '9807155', '9812105', '9901161', '9903172', '9905057', '0002221', '0004196', '0007152', '0010102']"
A.V.Ramallo,"['9201027', '9210124', '9307176', '9307037', '9407152', '9505149', '9508030', '9509061', '9606180', '9610224', '9704065', '9708094', '9709068', '9805160', '9905118', '9912177', '0104082', '0107142', '0110096', '0201138', '0207127', '0211203', '0212139', '0303193']"
Terry Gannon,"['9201028', '9209042', '9209043', '9212060', '9304106', '9402074', '9404185', '9407055', '9408119', '9511040', '9608063', '0106123', '0202067']"
C.S.Lam,"['9201028', '9409082', '9409083', '9511226', '9804181', '9805011', '0211017']"
Renata Kallosh,"['9201029', '9205027', '9209116', '9211015', '9302109', '9303106', '9306085', '9306095', '9401025', '9406009', '9406059', '9406093', '9502069', '9503029', '9505116', '9506113', '9507022', '9508072', '9509102', '9511115', '9601010', '9602014', '9602136', '9603090', '9604193', '9606093', '9607077', '9607108', '9608059', '9610155', '9611094', '9611161', '9611162', '9612004', '9702103', '9705056', '9705118', '9709069', '9709202', '9711161', '9804099', '9807206', '9812066', '9812087', '9812114', '9901095', '9902007', '9905112', '9906195', '9907124', '9910021', '9912053', '0001071', '0006179', '0007044', '0010271', '0011225', '0012110', '0104056', '0104073', '0106241', '0107097', '0109168', '0110089', '0110271', '0203019', '0205315', '0208156', '0208157', '0301240', '0304225']"
R.M.Ricotta,['9201030']
Mruiz–Altaba,['9201031']
Marcio J.Martins,"['9201032', '9202042', '9205024']"
L.Chekhov,"['9201033', '9202006', '9203009', '9205106', '9302014', '9305019', '9404048', '9509001', '9605013', '9705014', '9805212', '9811146', '9811200', '9903209', '0209085', '0301071']"
Yu.Makeenko,"['9201033', '9202006', '9203009', '9208020', '9208045', '9208071', '9302014', '9303079', '9303138', '9306037', '9306043', '9309012', '9310191', '9408029', '9608172', '9906134']"
Katsumi Itoh,"['9201034', '9305179', '9801118', '9806160', '9806161', '9912262', '0006180', '0101101', '0109202', '0111112']"
Nobuyoshi Ohta,"['9201034', '9205101', '9206012', '9305179', '9310180', '9312187', '9402042', '9402118', '9403150', '9405144', '9411156', '9504099', '9603070', '9605083', '9609207', '9701095', '9702164', '9706153', '9706219', '9709065', '9710129', '9710218', '9801023', '9801135', '9808111', '9809193', '9811057', '9902122', '9904181', '9908006', '9910092', '9912013', '0001213', '0007106', '0008119', '0009021', '0105070', '0105079', '0112034', '0112050', '0204161', '0205265', '0210206', '0301233', '0301095', '0302140', '0303238', '0304172']"
O.Babelon,"['9201035', '9306102', '9312042', '9401117', '9411160', '9505091', '9603010', '9606068', '9612099', '0209071', '0210154', '0304052']"
M.Talon,"['9201035', '9206106', '9210014', '9210128', '9306102', '9411160', '0209071']"
Mordechai Spiegelglas,['9201036']
Shimon Yankielowicz,"['9201036', '9408116', '9507013', '9509165', '9511098', '9601011', '9603009', '9802042', '9803263', '9811195', '9901134', '0205090']"
Joshua Feinberg,"['9201037', '9212069', '9304059', '9404143', '9408120', '9411040', '9503073', '9706012', '9912195', '0109043', '0109045', '0201078', '0209108']"
L.Feher,"['9201038', '9206113', '9210037', '9211094', '9304125', '9307190', '9312049', '9408065', '9410203', '9708160', '9808096', '9907050', '9910046', '9910112', '9912173', '0007045', '0111252', '0212006']"
L.O'Raifeartaigh,"['9201038', '9202052', '9304125', '9307190', '9405115', '9509125', '9511078', '9607110', '9611118', '9611123', '9704027', '9709143', '9802077', '9811090', '9906116', '0003247', '0007199', '0008196']"
P.Ruelle,"['9201038', '9304125', '9503141', '9511089', '9604104', '9803129', '9808158', '0007095', '0107150']"
I.Tsutsui,"['9201038', '9206113', '9304125', '9307190', '9408065', '9810156']"
14P,['9201039']
Taichiro Kugo,"['9201040', '9511033', '9711100', '9805119', '9807066', '9905043', '0106051', '0203276', '0208082']"
Barton Zwiebach,"['9201040', '9201056', '9202015', '9202062', '9206084', '9307088', '9309027', '9311009', '9408053', '9409015', '9411047', '9507038', '9511077', '9605075', '9606153', '9701015', '9705241', '9705038', '9707051', '9709013', '9711087', '9801205', '9804210', '9805220', '9812209', '9812028', '9907164', '9912249', '0002127', '0002211', '0005036', '0006240', '0007153', '0008227', '0008231', '0009246', '0010190', '0011226', '0012251', '0102112', '0105058', '0105168', '0106010', '0111153', '0111281', '0111129', '0201159', '0202087', '0202151', '0207107']"
Ashoke Sen,"['9201041', '9204046', '9206016', '9207053', '9209016', '9210050', '9210121', '9302038', '9303057', '9304154', '9305185', '9307088', '9309027', '9311009', '9402002', '9402032', '9408053', '9408083', '9411187', '9503057', '9504027', '9504147', '9507027', '9508064', '9509108', '9510229', '9511026', '9512203', '9602010', '9603113', '9604070', '9605150', '9608005', '9609176', '9611186', '9702061', '9702165', '9703157', '9705212', '9707123', '9707042', '9708002', '9709159', '9709220', '9711130', '9712150', '9802051', '9803194', '9805019', '9805170', '9808141', '9809111', '9812031', '9902105', '9904207', '9906109', '9907164', '9908060', '9909062', '9911116', '9912249', '0002211', '0003124', '0003278', '0005036', '0007153', '0007158', '0009191', '0009038', '0009090', '0010240', '0012251', '0101014', '0102112', '0105058', '0105168', '0106010', '0111153', '0111281', '0111129', '0201159', '0202151', '0203265', '0203211', '0204143', '0207105', '0208142', '0209122', '0303057']"
Alberto Carlini,"['9201042', '9201043']"
Maurizio Martellini,"['9201042', '9201043', '9204009', '9212018', '9505027', '9601162', '9607044', '9610090', '9611015', '9702035', '9703152']"
M.A.R.Osorio,"['9201044', '9207002', '9305137', '9305138', '9311080', '9511149', '9701122', '9705185', '9803058', '0011178', '0211211']"
M.A.Vazquez-Mozo,"['9201044', '9207002', '9212006', '9305137', '9305138', '9311080', '9511149', '9605050', '9607052', '9701142', '9704173', '9805154', '9806167', '9905030', '9906006', '9912140', '0002070', '0004080', '0004094', '0105182', '0107110', '0109038']"
Ramzi R.Khuri,"['9201045', '9201046', '9205051', '9205052', '9205081', '9205091', '9205108', '9212026', '9212029', '9301035', '9302108', '9303074', '9305089', '9305142', '9305143', '9311120', '9403031', '9412184', '9412150', '9412151', '9506057', '9506065', '9506086', '9508045', '9509070', '9602102', '9602153', '9603061', '9609094', '9704110', '9709124', '9803066', '9910122', '9911082', '0006063', '0107092', '0109041', '0201194', '0202158', '0209049']"
Hoseong La,"['9201045', '9201046', '9205035', '9205083', '9212041', '9505176', '9510147', '9606060', '9608148', '9704196', '9805062', '9904051']"
18 Pages,['9201047']
A.P.Balachandran,"['9201048', '9202052', '9205116', '9210111', '9301120', '9303177', '9304032', '9304067', '9310015', '9403067', '9404193', '9405141', '9411164', '9509019', '9510217', '9512047', '9612053', '9612247', '9803125', '9804145', '9811169', '9905136', '9906174', '9910129', '9911087', '0005286', '0006216', '0007030', '0103023', '0107099', '0111039', '0203259', '0204170', '0207052', '0210297', '0212133', '0301242']"
G.Bimonte,"['9201048', '9201062', '9205077', '9301120', '9304032', '9310015', '9403067', '9403128', '9408043', '9502085', '9507079', '9507147', '9507148', '9509060', '9510217', '9602094', '9603201', '9704118', '9706190', '9707153', '9707201', '9804145', '9912091', '0303206']"
K.S.Gupta,"['9201048', '9205077', '9304032', '9305052', '9311064', '9410216', '9801050', '9804145']"
A.Stern,"['9201048', '9201062', '9205077', '9302005', '9304032', '9304137', '9310145', '9312125', '9410216', '9601155', '9602094', '9610014', '9612145', '9704118', '9706190', '9707153', '9707201', '9811256', '9903170', '9912091', '0002229', '0010187', '0103206', '0107179', '0112220', '0206095', '0211033']"
Eric Smith,"['9201049', '9208039']"
H.Lu,"['9201050', '9202060', '9203024', '9204038', '9205054', '9207062', '9212017', '9212117', '9301099', '9304115', '9308114', '9309041', '9311084', '9402133', '9410005', '9410006', '9411101', '9502108', '9503158', '9503159', '9504121', '9504122', '9508042', '9511161', '9511162', '9511203', '9512012', '9512153', '9601089', '9602140', '9603037', '9604127', '9604052', '9604058', '9605077', '9605082', '9606047', '9607027', '9607164', '9608173', '9610107', '9611079', '9611134', '9612224', '9701177', '9702058', '9702086', '9703012', '9704186', '9707182', '9707207', '9708055', '9708109', '9710119', '9710155', '9710243', '9710244', '9711089', '9803259', '9803061', '9805151', '9806106', '9807006', '9807051', '9807173', '9810123', '9810159', '9811107', '9901115', '9901002', '9903001', '9903057', '9903214', '9905096', '9906168', '9906221', '9907202', '9909099', '9909121', '9909184', '9909203', '9910252', '0001002', '0002054', '0002056', '0002099', '0002128', '0003103', '0003286', '0004201', '0005137', '0005246', '0007109', '0007209', '0008050', '0009183', '0011023', '0011167', '0012011', '0101096', '0102185', '0103155', '0105096', '0106026', '0106162', '0106177', '0108191', '0108245', '0111096', '0112098', '0112138', '0202075', '0202175', '0203060', '0203082', '0203229', '0204001', '0204064', '0204231', '0206151', '0206154', '0209193', '0212323', '0212037', '0303211', '0304022']"
S.Schrans,"['9201050', '9202060', '9203024', '9212117', '9301099']"
K.W.Xu,"['9201050', '9205054', '9309041', '9404170', '9410006', '9502108', '9503158', '9503159', '9504121', '9604058']"
M.Bordemann,"['9201051', '9209108', '9606077', '9909191']"
J.Maharana,"['9201052', '9209052', '9506213', '9507063', '9602087', '9603110', '9705058', '9707182', '9811051', '9903105', '9910106', '0005113', '0103229', '0107229', '0110100', '0111158', '0203144', '0210012']"
S.Mukherji,"['9201052', '9604127', '9610107', '9612224', '9707182']"
S.P.De Alwis,"['9201053', '9205069', '9206020', '9207095', '9302144', '9307140', '9412027', '9504033', '9508053', '9601167', '9607011', '9609211', '9611189', '9705139', '9706142', '9710219', '9801162', '9804019', '9806178', '9905080', '0002087', '0002174', '0004125', '0007223', '0011223', '0101200', '0106174', '0201185', '0205042', '0212344']"
Michael B.Green,"['9201054', '9212085', '9403040', '9404166', '9406012', '9504108', '9509171', '9510016', '9511080', '9602061', '9602077', '9604091', '9604119', '9606080', '9611136', '9701093', '9704145', '9705074', '9710151', '9712086', '9712146', '9712195', '9804123', '9804170', '9807033', '9808061', '9810153', '9903124', '9907155', '9908020', '9910055', '9910056', '0002011', '0005211', '0107028', '0202003', '0205183', '0211122', '0212332']"
Edward Witten,"['9201056', '9204083', '9206069', '9206078', '9207094', '9208027', '9210065', '9301042', '9303067', '9304026', '9306104', '9306122', '9307038', '9312104', '9403195', '9403054', '9404184', '9408074', '9409111', '9409188', '9410052', '9411102', '9503124', '9503212', '9505053', '9505186', '9506101', '9507050', '9507121', '9510135', '9510169', '9510209', '9510101', '9511030', '9512219', '9601036', '9602070', '9603142', '9603150', '9604030', '9605184', '9607163', '9609122', '9609159', '9610234', '9611230', '9701162', '9703166', '9706109', '9707093', '9709193', '9710065', '9711053', '9712028', '9802150', '9803131', '9805112', '9805114', '9807080', '9807109', '9807205', '9810188', '9811048', '9812012', '9901021', '9903005', '9903224', '9905104', '9907041', '9907189', '9908142', '9909229', '9910205', '9910245', '9912086', '9912279', '0005090', '0005091', '0005120', '0006010', '0007175', '0009140', '0012054', '0103099', '0106109', '0107177', '0108165', '0109096', '0109152', '0112258', '0202056', '0203061', '0211170', '0211269', '0212247', '0301006', '0302194', '0303207', '0304079', '0304115']"
C.M.Hull,"['9201057', '9206031', '9211113', '9301074', '9302110', '9303071', '9305098', '9307013', '9308022', '9310135', '9404073', '9410167', '9503021', '9503022', '9504081', '9505073', '9506194', '9512181', '9606190', '9612208', '9702067', '9704021', '9705162', '9708047', '9708048', '9710096', '9710165', '9711179', '9712075', '9802179', '9803239', '9803124', '9806146', '9807127', '9808069', '9811021', '9812210', '9812224', '9910028', '9911080', '0004195', '0004086', '0011171', '0011215', '0107149', '0109213', '0110048', '0111072', '0203146', '0204156']"
R.Efraty,['9201058']
V.P.Nair,"['9201058', '9212068', '9301037', '9403145', '9403146', '9403010', '9406073', '9406074', '9411220', '9510157', '9602155', '9608156', '9609011', '9610002', '9612135', '9702024', '9705087', '9711125', '9802187', '9804132', '9809086', '9907078', '9911061', '0003130', '0004084', '0007188', '0008027', '0011172', '0102181', '0111249', '0112114', '0203264', '0204063', '0210143', '0211119', '0212270', '0302176']"
Sidney Coleman,"['9201059', '9305123']"
John Preskill,"['9201059', '9209058', '9306006', '9308044', '9403137', '0110205']"
Frank Wilczek,"['9201059', '9302096', '9401072', '9408089', '9411219', '9506066', '9511064', '9604134', '9609099', '9609084', '9610252', '9703131', '9706014', '9710135', '9801184', '9803075', '9806228', '9907001', '0005276', '0203170']"
J.M.Lina,['9201060']
P.K.Panigrahi,"['9201060', '9306027', '9309047', '9311076', '9507154', '9512072']"
T.Banks,"['9201061', '9206055', '9211030', '9212136', '9406132', '9501053', '9503114', '9503145', '9511193', '9511194', '9601151', '9609046', '9610043', '9705190', '9709091', '9711005', '9712236', '0007146', '0007186', '0011255', '0102077', '0111142', '0206096', '0206117', '0209113', '0210160', '0211160', '0212113']"
A.Dabolkhar,['9201061']
M.R.Douglas,"['9201061', '9312095', '9412203', '9609071']"
M.O' Loughlin,['9201061']
P.Salomonson,"['9201062', '9304032', '0106186', '0111050']"
A.Simoni,"['9201062', '9304032', '9310145']"
Marc Kamionkowski,"['9201063', '9202003']"
John March-Russell,"['9201063', '9202003', '9510223', '9604112', '9808138', '9809124', '9908146', '0005276', '0203170']"
J.L.F.Barbón,"['9201064', '9406046', '9501058']"
Yoichiro Matsumura,"['9201065', '9201066', '9504150']"
Norisuke Sakai,"['9201065', '9201066', '9207063', '9208081', '9303090', '9304010', '9307116', '9307154', '9409009', '9504150', '9509143', '9603173', '9603206', '9606157', '9802004', '9910095', '9912043', '0004188', '0009023', '0012182', '0101042', '0107204', '0108133', '0108179', '0109087', '0112244', '0203142', '0204214', '0208127', '0209232', '0210205', '0211103', '0212175', '0302028']"
Yoshiaki Tanii,"['9201065', '9201066', '9202080', '9203002', '9207063', '9208056', '9301027']"
G.W.Delius,"['9201067', '9202069', '9205093', '9909145', '0106275', '0109115', '0204076']"
M.T.Grisaru,"['9201067', '9202069', '9205012', '9205093', '9307027', '9403194', '9407089', '9501126', '9502094', '9505068', '9508139', '9509103', '9601115', '9605149', '9608125', '9610001', '9706013', '9706218', '9708042', '9801080', '9809085', '0211017']"
