Article,Articles référencés
0001018,"['9603087', '9604035', '9604179', '9609212', '9701042', '9801049', '9802163', '9906048', '9906064', '9908076', '9909130', '9909205', '9911043', '9911218', '9912118', '9912135', '9912175', '9912242']"
0001019,"['0002049', '9605022', '9703097', '9707253', '9908101', '9908149', '9909210', '9912176', '9912223']"
0001020,['9805177']
0001021,"['9401139', '9406206', '9505186', '9510017', '9604136', '9606187', '9609198', '9701178', '9704157', '9705105', '9705193', '9801102', '9806068', '9906007', '9912105']"
0001022,"['9311055', '9802096', '9902115']"
0001023,"['9512044', '9612084', '9706031', '9908073', '9910131', '9912113']"
0001024,"['9301050', '9512153', '9606139', '9612128', '9702202', '9704057', '9710129', '9811022', '9812074', '9904109', '9905196', '9905217', '9907066', '9909007', '9909015', '9909098', '9910095', '9911080', '9912081', '9912226']"
0001025,"['9203079', '9203084', '9301042', '9301043', '9308005', '9308083', '9308122', '9309097', '9309140', '9311042', '9402119', '9403123', '9403187', '9404060', '9406055', '9502072', '9504090', '9507012', '9507158', '9510227', '9512016', '9606040', '9606112', '9609017', '9612181', '9710206', '9710230', '9712186', '9804131', '9807056', '9807087', '9810188', '9811237', '9903139', '9906200', '9907013', '9908135', '9910170', '9912279']"
0001026,"['9310144', '9312059', '9405110', '9411163', '9412228', '9910178']"
0001027,"['9603053', '9612115', '9711162', '9802068', '9802085', '9903077', '9903107', '9903187', '9908038', '9908141', '9908142', '9910004', '9910091', '9911041', '9911098', '9912072', '9912075', '9912094', '9912167']"
0001028,"['9706175', '9712195', '9802162', '9809070', '9812136', '9910055']"
0001029,"['9209101', '9503124', '9505105', '9505162', '9506112', '9507012', '9507050', '9510169', '9510209', '9602022', '9602052', '9602114', '9603142', '9603161', '9605150', '9608111', '9609070', '9609071', '9609111', '9611007', '9707014', '9711098', '9712028', '9712035', '9712086', '9804176', '9805056', '9809122', '9811194', '9812028', '9812209', '9907134', '9907164']"
0001030,"['9406173', '9612009', '9704150', '9902165']"
0001031,"['9806236', '9908142', '9910096']"
0001032,"['9807198', '9908142', '9909081', '9909176', '9910138', '9912070']"
0001033,"['0001002', '0001003', '0001013', '0001018', '0001071', '9201007', '9604090', '9905012', '9905210', '9906064', '9906182', '9906204', '9907209', '9908076', '9908104', '9908116', '9908186', '9909001', '9909041', '9909048', '9909053', '9909070', '9909076', '9909103', '9909127', '9909130', '9909134', '9909199', '9909205', '9910081', '9910093', '9910132', '9910149', '9910174', '9910219', '9910269', '9911043', '9911055', '9911083', '9911104', '9911165', '9911181', '9911218', '9911234', '9911237', '9912001', '9912060', '9912118', '9912125', '9912132', '9912135', '9912160', '9912166', '9912175', '9912182', '9912186', '9912187', '9912193', '9912230', '9912232', '9912233', '9912242', '9912287']"
0001034,"['0001004', '9702007', '9707073', '9810131']"
0001035,"['9404162', '9510106', '9604123', '9805028', '9902098', '9902099', '9907200', '9908041', '9910205']"
0001036,"['9407087', '9408099', '9411047', '9411048', '9411149', '9503179', '9505006', '9505062', '9505075', '9505100', '9505150', '9511154', '9603002', '9603042', '9608129', '9707005']"
0001037,"['9205041', '9301042', '9504090', '9506014', '9507158', '9510227', '9511222', '9606112', '9607229', '9612181', '9712186', '9808080', '9902120', '9903031', '9906200', '9907131', '9908036', '9910170', '9910172', '9912147', '9912151', '9912188']"
0001038,"['9511055', '9704160']"
0001039,"['9506042', '9906169']"
0001040,['9912054']
0001041,"['9208059', '9302047', '9307010', '9308075', '9410191', '9411068', '9604089', '9605009', '9608125', '9610234', '9703040', '9704108', '9708005', '9708042', '9711200', '9802109', '9802150', '9803051', '9803053', '9803068', '9803077', '9804083', '9805156', '9806016', '9806087', '9808060', '9808162', '9810256', '9812218', '9901021', '9901121', '9902153', '9903161', '9905005', '9905075', '9905163', '9907047', '9908014', '9908107', '9909094', '9909179', '9910192', '9910267', '9911109', '9911129', '9911135', '9911238']"
0001042,"['9401153', '9402015', '9407056', '9707028', '9707057', '9710175', '9710233', '9712188', '9804136', '9809022', '9904029', '9908161']"
0001044,"['9806155', '9807235', '9808141', '9810188', '9812135', '9901159', '9902105', '9903031', '9903123', '9904207', '9905159', '9907164', '9908126', '9911116', '9912249', '9912275']"
0001045,"['9802149', '9912102', '9912291']"
0001046,"['9505078', '9512070', '9705156', '9807052', '9904202', '9906080', '9907081']"
0001047,"['9301069', '9411021', '9411025', '9610043', '9612115', '9711200', '9903030', '9904191', '9908141']"
0001048,"['9703083', '9705006', '9707128', '9809019']"
0001049,"['0003022', '0208020', '9510169', '9511043', '9601143', '9608127', '9611050', '9701190', '9707068', '9709062', '9802088', '9803194', '9805019', '9805091', '9806155', '9808141', '9809111', '9810188', '9812031', '9901014', '9903123', '9904201', '9905006', '9908060', '9908144', '9910109', '9912079', '9912161', '9912275']"
0001050,"['9405109', '9705007']"
0001051,"['9408099', '9411149', '9507121', '9508143', '9508155', '9510225', '9511164', '9602022', '9603167', '9605150', '9605199', '9606044', '9607163', '9607207', '9608047', '9608186', '9609239', '9610076', '9611063', '9705220', '9706110', '9709013', '9903215', '9908082']"
0001052,"['9805040', '9807083']"
0001053,"['9211075', '9403141', '9503205', '9506136', '9511187', '9712256', '9806024', '9806194', '9812046', '9812073', '9903219', '9903224', '9905104', '9906215', '9907087', '9909110', '9909149', '9911039']"
0001054,"['9301042', '9308124', '9407087', '9408099', '9411048', '9411057', '9504090', '9505062', '9505075', '9505100', '9506122', '9507012', '9507121', '9511154', '9511164', '9512145', '9603002', '9604034', '9604055', '9611190', '9611230', '9703166', '9704018', '9704089', '9705131', '9705221', '9708086', '9711200', '9802042', '9802067', '9802109', '9802150', '9805114', '9805171', '9807096', '9808017', '9808149', '9809022', '9905104', '9905111', '9906070', '9907178', '9909110', '9910182', '9911039']"
0001055,"['9409188', '9503121', '9503208', '9603167', '9605033', '9610043', '9710065', '9711162', '9711200', '9712049', '9712168', '9712230', '9801134', '9801147', '9802109', '9802150', '9802183', '9805139', '9806074', '9806180', '9807080', '9807082', '9807235', '9810126', '9810201', '9811004', '9903031', '9904104', '9906242', '9907186', '9909108', '9910145']"
0001056,"['9206084', '9304146', '9711200', '9802109', '9802150', '9902012', '9904104', '9906064', '9906182', '9912012', '9912018', '9912155']"
0001057,"['9603087', '9604035', '9604179', '9606033', '9611047', '9612095', '9612229', '9704120', '9711200', '9802042', '9802109', '9802150', '9803001', '9803002', '9803135', '9803137', '9803263', '9805129', '9805156', '9806021', '9806171', '9808117', '9810186', '9811120', '9811156', '9901056', '9902067']"
0001060,"['9406199', '9410141', '9512108', '9601128', '9605039', '9612117', '9709155']"
0001061,"['9706214', '9812099']"
0001062,"['9203071', '9207111', '9303017', '9310008', '9405002', '9405024', '9407049', '9412209', '9805206', '9810187', '9812068', '9901150']"
0001063,"['0001053', '9206008', '9503205', '9705208', '9711200', '9712256', '9712258', '9802109', '9806024', '9806194', '9812046', '9903219', '9906215', '9907087', '9908189', '9909149']"
0001064,"['9203016', '9205088', '9303077', '9303136', '9305087', '9403143', '9412228', '9502140', '9603012', '9607215', '9612118', '9705007', '9708035']"
0001065,"['9508042', '9511203', '9604090', '9711200', '9802042', '9802109', '9802150', '9804177', '9805069', '9805114', '9806069', '9807137', '9809022', '9902007', '9902131', '9905111', '9907006']"
0001066,"['9506052', '9511164', '9602167', '9603167', '9606165', '9611230', '9612126', '9703166', '9704006', '9704011', '9712230', '9803232', '9805019', '9805170', '9807008', '9810188', '9811004', '9811139', '9812031', '9812135', '9901159', '9904020', '9904131', '9904207', '9905006', '9905195', '9906109', '9907098', '9908060', '9908126', '9909062', '9910109', '9910249', '9911116', '9912142']"
0001067,"['9309148', '9405193', '9503126', '9505117', '9510108', '9701091', '9705034', '9802141', '9904126']"
0001068,"['9506035', '9506207', '9509141', '9608177', '9702133', '9705226', '9712103', '9804010', '9804168', '9806160', '9809121', '9809153', '9809190', '9810152', '9810154', '9810239', '9811017', '9811232', '9812051', '9905218', '9906103', '9908105', '9909021', '9911221']"
0001069,['0001040']
0001070,"['9407168', '9603157', '9604163', '9701172', '9705218', '9711016', '9711126', '9803226', '9811079', '9910035']"
0001071,"['0001002', '0001033', '9207091', '9702103', '9704142', '9803235', '9812035', '9906064', '9906194', '9909058', '9909070', '9909130', '9909134', '9909205', '9910021', '9911218', '9912027', '9912053', '9912060', '9912132']"
0001072,"['9711200', '9802109', '9802150', '9906118', '9906195']"
0001073,"['9510135', '9608163', '9908142', '9909202', '9910135', '9910196', '9912167']"
0001074,"['9804124', '9805106', '9809068', '9812232', '9905011', '9907102']"
0001075,"['9610193', '9808129']"
0001076,"['9204083', '9212149', '9301068', '9310144', '9401062', '9407114', '9611011', '9701025', '9703030', '9703189', '9809095', '9809130', '9901053', '9903246', '9911249']"
0001077,"['0208020', '9210127', '9302099', '9311183', '9409188', '9503207', '9506014', '9509080', '9510169', '9601038', '9603097', '9603104', '9605042', '9606169', '9608053', '9701137', '9702093', '9703059', '9704177', '9705037', '9707148', '9707160', '9708040', '9711200', '9802109', '9802150', '9803194', '9804026', '9804092', '9805019', '9805170', '9807011', '9807235', '9808141', '9809147', '9810214', '9811035', '9812031', '9812118', '9812158', '9901101', '9904069', '9904092', '9904207', '9905006', '9905111', '9905159', '9906055', '9906234', '9907184', '9908023', '9908064', '9908072', '9909010', '9909107', '9909116', '9909172', '9911081', '9912257']"
0001080,"['9204099', '9302126', '9412184', '9606062', '9610014', '9703164', '9705209', '9711200', '9802150', '9908150', '9910074']"
0001081,"['9205088', '9210115', '9405109', '9502010', '9502031', '9510201', '9601124', '9708077', '9805084', '9807023', '9809210', '9901046', '9905083']"
0001082,"['0001002', '9201007', '9510227', '9602136', '9603090', '9604090', '9605053', '9606122', '9609122', '9610151', '9706109', '9706195', '9711200', '9802150', '9803235', '9807137', '9810068', '9810126', '9812086', '9904017', '9906064', '9906070', '9907070', '9908088', '9909047', '9909058', '9910021', '9911011', '9911154', '9912002', '9912022', '9912152', '9912164']"
0001083,"['0001029', '9303017', '9304102', '9308124', '9402073', '9408083', '9410167', '9501020', '9501068', '9503124', '9504027', '9508154', '9510017', '9510169', '9510173', '9512081', '9602022', '9602070', '9603167', '9605150', '9606044', '9606112', '9610237', '9611137', '9611205', '9701093', '9704145', '9707018', '9707126', '9707222', '9708062', '9709058', '9710078', '9711107', '9712186', '9803117', '9803145', '9803265', '9804123', '9804176', '9805191', '9807067', '9808080', '9809039', '9809130', '9811228', '9812139', '9901014', '9901020', '9901128', '9901162', '9902055', '9902202', '9903010', '9903113', '9905173', '9906018', '9906200', '9908125', '9910115', '9910144', '9912067', '9912147', '9912188']"
0001084,"['9503099', '9803194', '9805170', '9911116', '9912120', '9912121', '9912249', '9912255']"
0001085,"['9303103', '9506121', '9601064', '9601073', '9702027', '9709166', '9709206', '9710075', '9806203', '9807063', '9905111', '9908099']"
0001086,"['9710048', '9906169']"
0001087,"['9906072', '9907217']"
0001088,['9611072']
0001089,"['9407087', '9512059', '9606139', '9611230', '9612121', '9703166', '9708003', '9708074', '9709054', '9710121', '9711162', '9711165', '9712199', '9803031', '9810116', '9810179', '9810219', '9903077', '9903166', '9903187', '9907166', '9908056', '9908134', '9908142', '9909215', '9911098', '9912072']"
0001090,"['9206070', '9209012', '9211011', '9407001', '9409179', '9502084', '9506206', '9804089', '9904184', '9911077']"
0001091,"['9201067', '9202069', '9503079', '9909042']"
0001092,"['9510209', '9603142', '9909130', '9909134', '9909205', '9910219', '9911043', '9911055', '9912118', '9912160', '9912287']"
0001093,"['9205068', '9503030', '9509067', '9510017', '9510209', '9511030', '9602045', '9602070', '9603133', '9603142', '9606036', '9606139', '9611050', '9611214', '9701019', '9801182', '9804026', '9805157', '9806199', '9808139', '9809147', '9812093', '9902055', '9905137', '9906039', '9906064', '9907023', '9908146', '9910090', '9911164']"
0001094,"['9303005', '9405029', '9512083', '9601116', '9601141', '9701065', '9701091', '9705034', '9705043', '9710092', '9808062', '9903130', '9905149']"
0001096,"['9709157', '9709158']"
0001097,"['9206003', '9403084', '9604161', '9612039', '9701156', '9710019', '9711146', '9805185', '9909170']"
0001098,"['9407087', '9410167', '9412184', '9503124', '9510017', '9611050', '9611203', '9612080', '9701019', '9708147', '9709027', '9710046', '9710097', '9803001', '9803097', '9902023', '9906075', '9906153', '9907126', '9907177', '9909148', '9909171']"
0001100,"['9211007', '9810070', '9905223']"
0001101,"['9510209', '9602070', '9603142', '9701165', '9802202', '9803224', '9803235', '9806051', '9808101', '9811168', '9811217', '9811240', '9901009', '9904054', '9906064', '9912208']"
0001102,['9905013']
0001103,"['9302103', '9408074', '9408099', '9505035', '9509161', '9510101', '9510204', '9612128', '9612231', '9702107', '9706089', '9706109', '9706141', '9711200', '9802109', '9802150', '9805171', '9806074', '9807098', '9810126', '9810206', '9812035', '9901128', '9903026', '9905015', '9905104', '9905111', '9906011', '9906194', '9906224', '9908020', '9909047', '9912035']"
0001105,"['9711162', '9711165', '9805034', '9908019', '9908142', '9911018', '9911085', '9912038']"
0001106,"['9510135', '9608024', '9610043', '9706072', '9709063', '9709199', '9712185', '9801183', '9801189', '9805018', '9806028', '9806081', '9806082', '9806108', '9809070', '9903022', '9903049', '9905183']"
0001107,"['0001003', '0001033', '9905221', '9906064', '9907209', '9909127', '9909130', '9912242']"
0001108,"['9709133', '9709134', '9710025', '9801192', '9810182', '9906170']"
0001109,"['9512075', '9605150', '9605199', '9607163', '9608105', '9608163', '9611230', '9612062', '9702161', '9707042', '9707123', '9709082', '9710185', '9803112', '9803160', '9808014', '9808160', '9809158', '9810250', '9812212', '9904196', '9905111', '9909177', '9909228']"
0001110,"['9212088', '9401059', '9401092', '9402008', '9609174', '9704055', '9704056', '9710103', '9711047', '9711110', '9801133', '9802174', '9806110', '9811212', '9902117', '9903096', '9903119', '9904199', '9907096', '9910107', '9910190', '9912207']"
0001111,"['9701125', '9711162', '9711165', '9802068', '9803031', '9803044', '9812219', '9903205', '9906192', '9907211', '9908142', '9909081', '9909132', '9909139', '9909176', '9910138', '9911206', '9911245', '9912070', '9912293']"
0001112,"['9212049', '9403058', '9503114', '9602070', '9603142', '9710208', '9803235', '9805005']"
0001114,"['9204099', '9210021', '9402031', '9403155', '9411242', '9510092', '9603015', '9704137', '9706174', '9709071', '9712251', '9801019', '9802076', '9805165', '9806068', '9806195', '9808037', '9811033', '9906123']"
0001115,['9310025']
0001116,['9812221']
0001117,"['9403067', '9506041', '9601069', '9606114']"
0001118,"['9611050', '9908105', '9912070']"
0001119,['9210119']
0001121,"['9308090', '9408149', '9412125', '9601115', '9604147', '9605149', '9606052', '9606135', '9608084', '9608157', '9701134', '9803099', '9901103', '9903243', '9905062', '9906141']"
0001122,"['0001002', '0002125', '0003147', '9511080', '9602135', '9711200', '9802109', '9802150', '9804083', '9805156', '9807051', '9810008', '9810126', '9902121', '9903190', '9903203', '9903238', '9905081', '9905180', '9905200', '9906127', '9906194', '9906216', '9907006', '9908066', '9909047', '9911040', '9911060', '9911152', '9912013', '9912018', '9912191']"
0001123,"['0011116', '9510135', '9705116', '9712130', '9801192', '9805019', '9805170', '9808141', '9809111', '9810188', '9812031', '9812135', '9812224', '9904157', '9905006', '9905157', '9905185', '9907140', '9908144', '9909062', '9910241', '9911173', '9912249']"
0001124,"['9205015', '9208032', '9301002', '9302133', '9303041', '9303149', '9307045', '9312047', '9312158', '9401096', '9401137', '9501049', '9601069', '9610043', '9612069', '9612115', '9712058', '9801099', '9802020', '9805108', '9806241', '9904012', '9907084', '9910232', '9912246', '9912267']"
0001125,"['9603087', '9607038', '9612095', '9701018', '9704161', '9704165', '9705040', '9706129', '9707246', '9708163', '9709054', '9710048', '9710223', '9801165', '9801202', '9802133', '9803040', '9803041', '9803216', '9804202', '9805209', '9806168', '9809204', '9811101', '9905144', '9906041', '9908105', '9908142']"
0001126,"['9510209', '9602070', '9603142', '9605136', '9611204', '9803235', '9806022', '9806051', '9808122', '9809195', '9811133', '9902071', '9903225', '9905012', '9906064', '9909134', '9910202', '9910219']"
0001127,"['9510135', '9512077', '9601003', '9604119', '9605033', '9610249', '9611050', '9611159', '9611173', '9612080', '9701149', '9701166', '9704021', '9711200', '9802109', '9802150', '9802179', '9803049', '9805157', '9809147', '9903210', '9906064', '9908105', '9912001', '9912155']"
0001128,"['9206034', '9301018', '9309137', '9310060', '9501136', '9506169', '9509007', '9810006', '9902011', '9903072', '9904159', '9907125', '9910218', '9912196']"
0001129,"['9606105', '9710225', '9807078', '9807215', '9911063']"
0001130,"['9603167', '9701137', '9805019', '9806155', '9812031', '9901014', '9906242', '9908060', '9909109', '9910109']"
0001131,"['9203018', '9207091', '9310194', '9512222', '9603090', '9711200', '9712251', '9802109', '9802150', '9802198', '9803131', '9804062', '9805097', '9805146', '9805151', '9807187', '9808032', '9808097', '9810090', '9810142', '9810205', '9810227', '9901149', '9903046', '9903143', '9903214', '9903269', '9905111', '9911195']"
0001132,"['0001037', '9301042', '9403096', '9506014', '9506104', '9507158', '9601108', '9603097', '9603167', '9606112', '9702155', '9710230', '9711020', '9712186', '9808080', '9810188', '9811211', '9902120', '9902132', '9902196', '9905038', '9905078', '9906200', '9906242', '9907131', '9908025', '9910172', '9911229', '9912147', '9912188']"
0001133,"['9510209', '9511030', '9602070', '9603142', '9603161', '9605136', '9606122', '9609209', '9701162', '9701165', '9704185', '9803224', '9803235', '9806051', '9806094', '9808101', '9809147', '9811168', '9901009', '9903104', '9906064', '9906070', '9908088', '9908193', '9912208']"
0001134,"['0001023', '9506097', '9612084', '9706031', '9809102', '9903249', '9904044', '9908073', '9912018', '9912037', '9912113']"
0001135,"['0001073', '9607201', '9708147', '9711094', '9711097', '9711162', '9711165', '9712211', '9803127', '9804139', '9804164', '9804174', '9905162', '9908142', '9909202', '9910135', '9910196', '9911186']"
0001136,"['9507059', '9611054', '9704210', '9705172', '9802019', '9803012', '9803025', '9806206', '9810178']"
0001137,"['9212088', '9304063', '9401059', '9401092', '9404031', '9502096', '9605183', '9609174', '9704055', '9711023', '9711057', '9711110', '9801042', '9801133', '9802174', '9803007', '9811212', '9904199', '9910190']"
0001138,"['9412147', '9509140', '9607060', '9611074', '9611075', '9711200', '9802109', '9802150', '9803171', '9804058', '9806074', '9807033', '9807097', '9807098', '9808006', '9808041', '9808162', '9809179', '9811047', '9811060', '9811155', '9811172', '9903094', '9903196', '9903230', '9905020', '9905049', '9905085', '9906030', '9906051', '9907085', '9908160', '9910011', '9910016', '9910197', '9912210']"
0001140,"['9303048', '9704058', '9709050', '9905223', '9911148', '9912023']"
0001141,"['9812193', '9903205', '9908040']"
0001142,"['9407087', '9411048', '9411057', '9504102', '9505075', '9507008', '9509176', '9601115', '9604147', '9605096', '9605149', '9607089', '9610204', '9703147', '9704214', '9705057', '9705120', '9706007', '9706013', '9706078', '9706079', '9706099', '9710142', '9801121', '9803154', '9803176', '9804010', '9806043', '9807059', '9810040', '9810152', '9810239', '9811017', '9902188', '9906145', '9908054', '9909020', '9909183', '9911221']"
0001143,"['9404101', '9510017', '9510227', '9601150', '9604119', '9610122', '9707068', '9710230', '9805019', '9806155', '9808141', '9809111', '9810188', '9812031', '9812135', '9901159', '9904207', '9905157', '9909062', '9912249', '9912255', '9912279']"
0001144,"['9209032', '9511043', '9610043', '9611042', '9711162', '9711165', '9711201', '9803031', '9803044', '9810116', '9812219', '9902059', '9903205', '9904133', '9906192', '9907100', '9907145', '9908142', '9911140', '9911153']"
0001145,"['9409089', '9601151', '9712130', '9803132', '9905177', '9906022', '9911002', '9911164', '9912018', '9912156']"
0001146,"['9812233', '9906241']"
0001147,['9411102']
0001148,"['9401149', '9603053', '9605001', '9606001']"
0001149,"['9405113', '9503124', '9507048', '9510017', '9510135', '9512062', '9606173', '9610148', '9610249', '9611050', '9611159', '9611173', '9701125', '9701127', '9905144', '9906041', '9908105', '9908142']"
0001150,"['9405113', '9501113', '9502141', '9607227', '9611008', '9611173', '9701127', '9702008', '9802032', '9905144', '9906041', '9906142']"
0001151,"['9411051', '9412229', '9606068', '9607099', '9807085']"
0001152,['9911107']
0001153,['9406160']
0001154,['9807099']
0001155,['9806077']
0001156,"['0002113', '9605048', '9608181', '9811043']"
0001157,"['9204012', '9212049', '9406132', '9503114', '9508071', '9510209', '9602070', '9605136', '9611213', '9612128', '9708049', '9806124', '9903212', '9906064', '9906126', '9906246', '9909172', '9910164']"
0001158,"['9202047', '9203047', '9303009', '9306145', '9405153', '9608063', '9612078', '9708120']"
0001159,"['0001071', '0001082', '0001143', '9201007', '9204031', '9510227', '9602136', '9603004', '9603090', '9604090', '9704142', '9803235', '9810126', '9904017', '9906064', '9906194', '9907070', '9908089', '9909058', '9909070', '9910021', '9912002', '9912027', '9912152']"
0001161,"['9305163', '9309034', '9409089', '9412167', '9902126', '9903146', '9904133', '9905177', '9908070', '9912055']"
0001162,"['9303153', '9407026', '9410105', '9412113', '9503155']"
0001163,"['9609035', '9610193', '9705151', '9705176', '9808129', '9811077', '9902115', '9903040', '9903116', '9905079', '9909189', '9911072']"
0001164,"['0001163', '9301013', '9606037', '9611055', '9705151', '9705176', '9811077', '9903040', '9903116', '9909189', '9910139', '9911072']"
0001165,"['9212155', '9511030', '9702202', '9703166', '9803116', '9808160', '9809108', '9809158', '9812024', '9908048', '9909228']"
0001166,"['0001003', '0001018', '0001107', '0001113', '9906064', '9908018', '9908076', '9909130', '9909205', '9910093', '9911043', '9911055', '9911218', '9912118', '9912135', '9912175', '9912242']"
0001167,"['9901080', '9903077', '9903166', '9903187', '9908056', '9908142', '9912072', '9912075', '9912094', '9912167']"
0001168,"['9303139', '9304047', '9309144', '9309154', '9312212', '9402021', '9403094', '9405011', '9407087', '9408099', '9410228', '9411160', '9505035', '9505039', '9505105', '9508155', '9509161', '9510101', '9510204', '9510224', '9511125', '9512161', '9603140', '9604078', '9607109', '9612121', '9701014', '9701123', '9703166', '9706050', '9707111', '9710239', '9711156', '9802007', '9902205', '9903087', '9903088', '9906235', '9906240', '9909224', '9912092']"
0001169,"['9501113', '9510209', '9607227', '9611008', '9702008', '9705093', '9710223', '9711203', '9712059', '9712115', '9803041', '9804051', '9806069', '9809204', '9810081', '9902171', '9906142']"
0001170,"['9510135', '9510209', '9604119', '9611173', '9704131', '9705162', '9706117', '9712115', '9802199', '9806069', '9808141', '9810188', '9812031', '9812135', '9812224', '9812225', '9901159', '9902160', '9903123', '9904207', '9905006', '9905157', '9905195', '9907140', '9908126', '9908144', '9909062', '9909194', '9910266', '9911173', '9912030']"
0001171,"['9309055', '9512142', '9605035', '9610191']"
0001172,"['9206114', '9407117', '9409108', '9605187', '9607099', '9607167', '9608091', '9611238', '9701107', '9706140', '9712222', '9803104', '9805117', '9807160', '9902192', '9909031', '9910102']"
0001173,"['9503207', '9610192', '9611194', '9701061', '9708120', '9712257', '9808023', '9905038', '9909114', '9910079', '9910148', '9911229', '9912239']"
0001174,"['9312206', '9412228', '9607215', '9807191', '9905192']"
0001175,"['9506026', '9610101', '9707185', '9801169', '9802191', '9803177', '9809209', '9811248', '9909004']"
0001176,"['9211021', '9309023', '9406216', '9501066', '9703150', '9705035', '9706221', '9801073', '9802057', '9806230', '9806233']"
0001177,"['9409089', '9702101', '9702187', '9709066', '9802109', '9802150', '9804058', '9805114', '9806039', '9806087', '9808177', '9809035', '9811056', '9812202', '9902121', '9903190', '9903238', '9905111', '9905211', '9906022', '9906040', '9906064', '9906127', '9906182', '9910023', '9910245', '9912001', '9912012', '9912018']"
0001178,"['9412147', '9711161', '9712117', '9803051', '9803053', '9803068', '9803077', '9803109', '9806042', '9810226', '9905111', '9907047', '9909179', '9910110', '9911135', '9912007', '9912168']"
0001179,"['0001098', '9510135', '9702076', '9704195', '9708147', '9711097', '9711200', '9805140', '9901002', '9902023', '9903054', '9905111', '9905175', '9912073']"
0001180,"['0001053', '9405026', '9410132', '9410219', '9503205', '9611041', '9705208', '9709143', '9711200', '9803038', '9805173', '9806024', '9907087', '9908189']"
0001182,"['9903077', '9903107', '9903187', '9908056', '9908142', '9911098', '9912072']"
0001183,"['9212099', '9302120', '9304048', '9406028', '9506059', '9510017', '9510209', '9810155', '9811035', '9811141', '9812089', '9902074', '9903045', '9903225', '9905012', '9905210', '9906220', '9907209', '9908047', '9910174']"
0001184,"['9311055', '9407087', '9408099', '9411048', '9411057', '9503163', '9505062', '9506147', '9510222', '9604004', '9605066', '9606191', '9706109', '9707244', '9801082', '9802185', '9805172', '9807069', '9807218', '9812090', '9901006', '9906198', '9906243']"
0001185,"['9201032', '9202011', '9202020', '9202028', '9205024', '9206052', '9207040', '9208011', '9211115', '9304050', '9304051', '9306028', '9307166', '9405197', '9407117', '9409108', '9411085', '9412154', '9512104', '9601123', '9604098', '9605104', '9608091', '9709034', '9712222', '9909031', '9910102']"
0001186,"['9402044', '9411149', '9503163', '9711200', '9802183', '9803015', '9803076', '9803214', '9803249', '9805218', '9906081', '9909155']"
0001187,"['9812245', '9906026', '9908123']"
0001188,"['0001137', '9212088', '9303012', '9401059', '9502096', '9609174', '9711023', '9711057', '9711110', '9712006', '9801042', '9802174', '9806110', '9811212', '9902117', '9904199']"
